date,Visibility,DryBulbFarenheit,DryBulbCelsius,WetBulbFarenheit,DewPointFarenheit,DewPointCelsius,RelativeHumidity,WindSpeed,WindDirection,StationPressure,Altimeter,WetBulbCelsius
1/1/2010 0:00,10.0,16.0,0.0,13.0,7.0,-14.0,0.0,0.0,0.0,21.65,30.35,-10.3
1/1/2010 1:00,0.0,0.0,0.0,13.0,7.0,-14.0,0.0,5.0,150.0,0.0,0.0,0.0
1/1/2010 2:00,10.0,0.0,-9.0,13.0,7.0,-14.0,0.0,5.0,190.0,21.65,0.0,-10.3
1/1/2010 3:00,10.0,16.0,0.0,13.0,7.0,0.0,0.0,7.0,180.0,21.65,30.35,0.0
1/1/2010 4:00,0.0,16.0,0.0,14.0,9.0,-13.0,74.0,6.0,120.0,21.64,0.0,0.0
1/1/2010 5:00,10.0,0.0,-9.0,14.0,0.0,-13.0,74.0,5.0,150.0,21.64,30.34,-10.0
1/1/2010 6:00,10.0,16.0,0.0,13.0,0.0,-14.0,0.0,0.0,160.0,21.65,0.0,-10.3
1/1/2010 7:00,10.0,18.0,-8.0,0.0,9.0,0.0,0.0,0.0,0.0,21.67,30.38,-9.3
1/1/2010 8:00,10.0,19.0,-7.0,16.0,10.0,-12.0,68.0,7.0,0.0,0.0,30.35,0.0
1/1/2010 9:00,10.0,0.0,0.0,20.0,3.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0
1/1/2010 10:00,10.0,0.0,-1.0,23.0,9.0,-13.0,41.0,0.0,0.0,21.66,0.0,-5.1
1/1/2010 11:00,10.0,34.0,1.0,0.0,16.0,-9.0,0.0,0.0,0.0,0.0,30.33,-2.7
1/1/2010 12:00,10.0,36.0,2.0,0.0,19.0,0.0,50.0,8.0,280.0,21.62,30.31,0.0
1/1/2010 13:00,10.0,39.0,4.0,31.0,0.0,-6.0,48.0,0.0,300.0,21.61,30.3,-0.2
1/1/2010 14:00,10.0,37.0,3.0,31.0,23.0,-5.0,57.0,0.0,310.0,0.0,30.3,-0.4
1/1/2010 15:00,10.0,36.0,2.0,31.0,25.0,-4.0,64.0,0.0,0.0,21.6,0.0,-0.3
1/1/2010 16:00,10.0,0.0,0.0,0.0,23.0,-5.0,69.0,6.0,290.0,21.6,0.0,-2.0
1/1/2010 17:00,10.0,30.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,21.6,30.29,0.0
1/1/2010 18:00,10.0,28.0,0.0,0.0,23.0,0.0,82.0,0.0,170.0,0.0,30.29,-3.3
1/1/2010 19:00,10.0,28.0,-2.0,26.0,23.0,-5.0,0.0,3.0,140.0,21.59,30.28,-3.3
1/1/2010 20:00,10.0,28.0,-2.0,0.0,0.0,-4.0,89.0,3.0,0.0,21.58,30.27,-2.8
1/1/2010 21:00,10.0,25.0,-4.0,21.0,0.0,-10.0,64.0,0.0,0.0,21.63,30.33,-5.8
1/1/2010 22:00,0.0,0.0,-2.0,25.0,21.0,-6.0,75.0,7.0,150.0,21.57,30.25,-3.7
1/1/2010 23:00,10.0,28.0,0.0,25.0,0.0,-7.0,69.0,0.0,0.0,21.57,30.25,-4.1
1/2/2010 0:00,10.0,28.0,-2.0,25.0,0.0,-6.0,75.0,0.0,0.0,21.57,30.25,-3.7
1/2/2010 1:00,0.0,0.0,-2.0,25.0,0.0,0.0,75.0,5.0,120.0,0.0,30.24,-3.7
1/2/2010 2:00,10.0,28.0,-2.0,27.0,25.0,-4.0,89.0,6.0,0.0,21.55,30.22,-2.9
1/2/2010 3:00,10.0,30.0,-1.0,27.0,23.0,-5.0,0.0,0.0,160.0,0.0,30.2,-2.6
1/2/2010 4:00,0.0,30.0,-1.0,0.0,0.0,-3.0,89.0,7.0,160.0,21.52,0.0,-1.8
1/2/2010 5:00,10.0,0.0,0.0,28.0,27.0,0.0,0.0,3.0,110.0,0.0,30.17,-2.4
1/2/2010 6:00,10.0,30.0,0.0,0.0,0.0,-3.0,89.0,5.0,150.0,21.5,30.16,-1.8
1/2/2010 7:00,10.0,30.0,0.0,28.0,25.0,0.0,82.0,5.0,0.0,21.49,0.0,-2.2
1/2/2010 8:00,0.0,32.0,0.0,29.0,25.0,-4.0,0.0,0.0,0.0,21.49,30.15,0.0
1/2/2010 9:00,10.0,28.0,-2.0,27.0,25.0,-4.0,89.0,0.0,280.0,21.52,30.18,0.0
1/2/2010 10:00,0.0,30.0,-1.0,27.0,23.0,-5.0,75.0,9.0,290.0,21.52,0.0,-2.6
1/2/2010 11:00,10.0,32.0,0.0,0.0,0.0,-6.0,64.0,7.0,330.0,21.51,30.17,-2.4
1/2/2010 12:00,7.0,30.0,0.0,0.0,21.0,0.0,69.0,14.0,310.0,21.5,30.16,0.0
1/2/2010 13:00,7.0,0.0,-1.0,26.0,21.0,-6.0,69.0,14.0,0.0,21.5,0.0,0.0
1/2/2010 14:00,10.0,0.0,1.0,28.0,18.0,-8.0,52.0,0.0,300.0,21.47,0.0,0.0
